dates,prices
2018-04-03,58.985
2018-04-04,58.94
2018-04-05,60.525
2018-04-06,59.44
2018-04-09,59.52
2018-04-10,59.83
2018-04-11,59.57
2018-04-12,59.655
2018-04-13,59.455
2018-04-16,59.31
2018-04-17,59.98
2018-04-18,60.53
2018-04-19,60.325
2018-04-20,60.525
2018-04-23,61.04
2018-04-24,60.805
2018-04-25,60.185
2018-04-26,60.76
2018-04-27,61.6
2018-04-30,61.845
2018-05-01,61.68
2018-05-02,62.02
2018-05-03,61.335
2018-05-04,62.41
2018-05-08,62.655
2018-05-09,62.555
2018-05-10,63.72
2018-05-11,63.735
2018-05-14,63.76
2018-05-15,63.425
2018-05-16,63.595
2018-05-17,63.72
2018-05-18,63.54
2018-05-21,64.12
2018-05-22,64.365
2018-05-23,63.94
2018-05-24,63.8
2018-05-25,64.175
2018-05-29,63.6
2018-05-30,63.76
2018-05-31,63.745
2018-06-01,63.88
2018-06-04,64.495
2018-06-05,64.01
2018-06-06,64.235
2018-06-07,64.445
2018-06-08,64.31
2018-06-11,64.79
2018-06-12,64.64
2018-06-13,64.86
2018-06-14,64.785
2018-06-15,64.445
2018-06-18,64.5
2018-06-19,64.365
2018-06-20,64.56
2018-06-21,63.445
2018-06-22,63.785
2018-06-25,62.695
2018-06-26,62.96
2018-06-27,63.42
2018-06-28,63.19
2018-06-29,63.58
2018-07-02,63.01
2018-07-03,63.235
2018-07-04,62.88
2018-07-05,63.075
2018-07-06,63.435
2018-07-09,64.20475
2018-07-10,64.22975
2018-07-11,63.838
2018-07-12,64.2085
2018-07-13,64.48075
2018-07-16,64.28975
2018-07-17,64.712
2018-07-18,65.433
2018-07-19,65.5155
2018-07-20,65.26
2018-07-23,65.13
2018-07-24,65.505
2018-07-25,65.385
2018-07-26,65.795
2018-07-27,65.94
2018-07-30,65.48
2018-07-31,65.66475
2018-08-01,65.5135
2018-08-02,65.53
2018-08-03,66.06
2018-08-06,66.38525
2018-08-07,66.78
2018-08-08,67.11475
2018-08-09,67.22475
2018-08-10,66.755
2018-08-13,66.5695
2018-08-14,66.718
2018-08-15,65.9995
2018-08-16,66.7125
2018-08-17,66.546
2018-08-20,66.8305
2018-08-21,66.68975
2018-08-22,66.63625
2018-08-23,66.765
2018-08-24,67.05025
2018-08-28,67.62
2018-08-29,67.145
2018-08-30,66.81
2018-08-31,66.55
2018-09-03,67.16
2018-09-04,66.93
2018-09-05,66.12
2018-09-06,65.69
2018-09-07,65.72
2018-09-10,65.365
2018-09-11,65.36
2018-09-12,65.575
2018-09-13,65.53
2018-09-14,65.865
2018-09-17,65.45
2018-09-18,65.72
2018-09-19,65.91
2018-09-20,65.965
2018-09-21,67.03
2018-09-24,66.395
2018-09-25,66.445
2018-09-26,66.47
2018-09-27,66.4
2018-09-28,66.435
2018-10-01,66.645
2018-10-02,66.67
2018-10-03,66.63
2018-10-04,65.625
2018-10-05,64.885
2018-10-08,64.67
2018-10-09,64.5
2018-10-10,63.165
2018-10-11,61.645
2018-10-12,62.07
2018-10-15,62.23
2018-10-16,62.52
2018-10-17,62.8
2018-10-18,62.665
2018-10-19,62.81
2018-10-22,62.715
2018-10-23,61.6
2018-10-24,61.625
2018-10-25,62.05
2018-10-26,61.01
2018-10-29,61.55
2018-10-30,61.82
2018-10-31,62.755
2018-11-01,62.175
2018-11-02,62.325
2018-11-05,62.13
2018-11-06,62.13
2018-11-07,62.64
2018-11-08,63.01
2018-11-09,62.795
2018-11-12,62.49
2018-11-13,62.15
2018-11-14,61.67
2018-11-15,62.645
2018-11-16,62.835
2018-11-19,62.39
2018-11-20,61.405
2018-11-21,62.16
2018-11-22,61.08
2018-11-23,61.565
2018-11-26,62.05
2018-11-27,62.41
2018-11-28,62.645
2018-11-29,63.33
2018-11-30,63.35
2018-12-03,64.48
2018-12-04,64.15
2018-12-05,63.09
2018-12-06,61.18
2018-12-07,61.865
2018-12-10,61.31
2018-12-11,62.505
2018-12-12,62.68
2018-12-13,62.365
2018-12-14,61.985
2018-12-17,61.37
2018-12-18,60.555
2018-12-19,60.785
2018-12-20,59.295
2018-12-21,58.92
2018-12-24,57.685
2018-12-27,58.035
2018-12-28,59.04
2018-12-31,59.015
2019-01-02,59.535
2019-01-03,58.79
2019-01-04,59.645
2019-01-07,60.005
2019-01-08,60.4
2019-01-09,61.055
2019-01-10,61.01
2019-01-11,60.755
2019-01-14,60.2
2019-01-15,61.18
2019-01-16,61.115
2019-01-17,60.775
2019-01-18,61.925
2019-01-21,61.82
2019-01-22,61.07
2019-01-23,60.335
2019-01-24,60.7
2019-01-25,60.805
2019-01-28,60.255
2019-01-29,60.42
2019-01-30,61.175
2019-01-31,61.67
2019-02-01,61.99
2019-02-04,62.26
2019-02-05,63.345
2019-02-06,63.205
2019-02-07,62.24
2019-02-08,62.01
2019-02-11,62.795
2019-02-12,63.34
2019-02-13,63.545
2019-02-14,63.74
2019-02-15,64.045
2019-02-18,63.93
2019-02-19,63.31
