dates,prices
2019-01-29,42.285
2019-01-30,42.6625
2019-01-31,43.46
2019-02-01,43.56
2019-02-04,43.6625
2019-02-05,44.4075
2019-02-06,44.15
2019-02-07,43.4275
2019-02-08,43.195
2019-02-11,43.6625
2019-02-12,43.885
2019-02-13,43.585
2019-02-14,43.55
2019-02-15,43.62
2019-02-18,43.45
2019-02-19,43.14
2019-02-20,43.69
2019-02-21,43.2825
2019-02-22,43.98
2019-02-25,44.48
2019-02-26,43.595
2019-02-27,43.025
2019-02-28,42.775
2019-03-01,43.0
2019-03-04,43.1325
2019-03-05,43.895
2019-03-06,43.8575
2019-03-07,42.985
2019-03-08,42.8
2019-03-11,43.365
2019-03-12,43.73
2019-03-13,43.23
2019-03-14,42.8875
2019-03-15,43.4375
2019-03-18,44.05
2019-03-19,44.1675
2019-03-20,43.875
2019-03-21,44.635
2019-03-22,43.1575
2019-03-25,43.255
2019-03-26,43.18
2019-03-27,42.89
2019-03-28,43.295
2019-03-29,44.1775
2019-04-01,44.41
2019-04-02,44.605
2019-04-03,44.7525
2019-04-04,44.95
2019-04-05,45.55
2019-04-08,45.5
2019-04-09,45.5
2019-04-10,45.4775
2019-04-11,45.0525
2019-04-12,45.245
2019-04-15,44.88
2019-04-16,45.44
2019-04-17,45.59
2019-04-18,45.78
2019-04-23,45.8725
2019-04-24,45.4775
2019-04-25,45.43
2019-04-26,45.72
2019-04-29,45.69
2019-04-30,45.1625
2019-05-01,45.325
2019-05-02,45.025
2019-05-03,45.085
2019-05-07,43.72
2019-05-08,43.99
2019-05-09,42.68
2019-05-10,42.86
2019-05-13,42.14
2019-05-14,42.9525
2019-05-15,43.17
2019-05-16,43.6375
2019-05-17,43.01
2019-05-20,42.605
2019-05-21,42.86
2019-05-22,43.2
2019-05-23,42.655
2019-05-24,42.5
2019-05-28,42.8025
2019-05-29,42.98
2019-05-30,43.6025
2019-05-31,43.7025
2019-06-03,44.095
2019-06-04,43.715
2019-06-05,43.3775
2019-06-06,43.3325
2019-06-07,43.775
2019-06-10,44.3625
2019-06-11,44.595
2019-06-12,44.165
2019-06-13,44.23
2019-06-14,44.18
2019-06-17,44.355
2019-06-18,45.33
2019-06-19,45.07
2019-06-20,45.7
2019-06-21,45.6475
